dateupdated,shoe_type,avg_price
2017-01-12T06:15:38Z,Sneaker,34.99
2017-01-12T06:15:38Z,Sneaker,65
2016-10-05T22:22:33Z,Shoe,127
2017-01-14T19:33:02Z,Canvas,44
2017-01-14T19:33:02Z,Canvas,23.99
2016-10-29T23:05:45Z,Shoe,59
2016-04-01T21:10:31Z,Shoe,25
2016-11-11T09:47:01Z,Boot,126.47
2016-11-11T09:47:01Z,Boot,104.85
2017-01-27T01:22:57Z,Shoe,69.15
2017-01-27T01:22:57Z,Shoe,85
2017-01-27T01:29:56Z,Boot,189.99
2016-06-13T02:07:18Z,Boot,107.99
2016-06-13T02:07:18Z,Boot,150
2017-01-09T19:48:11Z,Shoe,85.99
2017-01-09T19:48:11Z,Shoe,59.99
2017-01-09T19:48:11Z,Shoe,83.49
2017-01-09T19:48:11Z,Shoe,83.5
2016-10-05T22:22:24Z,Boot,183.99
2016-10-05T22:22:24Z,Boot,230
2016-10-05T22:22:24Z,Boot,215.95
2016-05-18T20:12:06Z,Shoe,64
2016-05-18T20:12:06Z,Shoe,49.28
2017-01-27T01:24:45Z,Shoe,110
2016-04-03T17:48:21Z,Canvas,39.99
2017-01-09T19:46:17Z,Boot,80
2016-11-01T09:39:35Z,Shoe,75
2016-11-01T09:39:35Z,Shoe,61.65
2016-03-22T01:35:50Z,Shoe,71.98
2017-01-24T18:54:00Z,Boot,85
2016-11-11T09:46:42Z,Boot,62.9
2016-04-01T02:59:30Z,Boot,233
2016-04-01T02:59:30Z,Boot,199.85
2016-04-01T02:59:30Z,Boot,198.05
2016-04-01T02:59:30Z,Boot,214.99
2016-11-11T09:46:48Z,Boot,76.66
2017-01-27T01:34:29Z,Boot,275
2017-01-27T01:34:29Z,Boot,119
2016-11-15T12:48:16Z,Shoe,34.99
2016-11-15T12:48:16Z,Shoe,97.5
2016-11-15T13:13:49Z,Shoe,165
2016-11-15T13:24:01Z,Sneaker,51.99
2016-11-15T13:24:01Z,Sneaker,175.51
2016-11-15T13:24:01Z,Sneaker,65
2016-05-07T02:22:38Z,Shoe,99.99
2016-05-07T02:22:38Z,Shoe,49.99
2016-04-07T23:42:22Z,Shoe,74.99
2016-02-21T01:32:42Z,Shoe,34.99
2016-02-21T01:32:42Z,Shoe,54.99
2016-06-08T05:29:15Z,Boot,271.64
2016-11-15T07:48:45Z,Shoe,37.49
2016-11-15T07:48:45Z,Shoe,37.99
2016-11-15T07:48:45Z,Shoe,68
2016-11-15T07:48:45Z,Shoe,37.99
2016-11-15T13:18:35Z,Shoe,75
2016-11-15T13:18:35Z,Shoe,69.9
2017-01-27T01:22:45Z,Sneaker,39.99
2017-01-27T01:22:45Z,Sneaker,65
2017-01-27T01:22:45Z,Sneaker,59.99
2017-01-27T01:22:45Z,Sneaker,36.99
2017-01-12T06:16:52Z,Oxford,161.99
2017-01-12T06:16:52Z,Oxford,295
2016-03-04T05:43:58Z,Sneaker,86.89
2016-11-11T09:46:36Z,Shoe,76.66
2017-01-27T01:20:19Z,Oxford,424.95
2016-11-01T09:41:42Z,Boot,139.29
2017-01-07T20:51:15Z,Shoe,44.99
2017-01-07T20:51:15Z,Shoe,58
2017-01-07T20:51:15Z,Shoe,23.99
2016-10-05T22:37:41Z,Shoe,19.99
2016-10-05T22:37:41Z,Shoe,60
2017-01-27T01:30:48Z,Oxford,75.65
2017-01-22T06:21:56Z,Loafer,58.99
2017-01-22T06:21:56Z,Loafer,37.99
2017-01-22T06:21:56Z,Loafer,148
2017-01-09T19:46:07Z,Shoe,130
2017-01-20T18:49:50Z,Boot,99.5
2016-07-19T01:26:14Z,Shoe,264.975
2016-07-19T01:26:14Z,Shoe,239.995
2016-07-19T01:26:14Z,Shoe,211.49
2016-07-19T01:26:14Z,Shoe,242.49
2016-07-19T01:26:14Z,Shoe,319.1
2016-07-19T01:26:14Z,Shoe,259.995
2016-07-19T01:26:14Z,Shoe,322.925
2016-07-19T01:26:14Z,Shoe,247.475
2016-07-19T01:26:14Z,Shoe,257.25
2016-07-19T01:26:14Z,Shoe,257.495
2016-07-19T01:26:14Z,Shoe,325.6
2016-07-19T01:26:14Z,Shoe,244.995
2016-07-19T01:26:14Z,Shoe,214.995
2016-07-19T01:26:14Z,Shoe,261.755
2016-07-19T01:26:14Z,Shoe,188.615
2016-07-19T01:26:14Z,Shoe,189.995
2016-11-06T23:59:01Z,Shoe,79.9
2017-01-27T01:34:34Z,Boot,259
2017-01-19T18:46:30Z,Boot,109.01
2016-04-24T15:15:52Z,Shoe,9
2016-04-24T15:15:52Z,Shoe,16.87
2016-03-14T03:07:47Z,Boot,39.99
2016-11-15T12:41:57Z,Shoe,33.99
2016-03-04T03:36:25Z,Shoe,44.99
2016-05-05T19:56:25Z,Boot,43.99
2016-11-15T13:15:53Z,Shoe,64.74
2017-01-09T19:45:32Z,Shoe,109.98
2016-11-15T13:15:22Z,Shoe,65
2016-04-12T04:04:43Z,Shoe,19.49
2016-01-27T08:52:27Z,Shoe,109.98
2017-01-22T06:20:51Z,Shoe,69.99
2016-08-11T16:58:02Z,Shoe,49.99
2017-01-27T01:34:27Z,Boot,219.99
2017-01-27T01:34:27Z,Boot,119
2016-11-11T10:01:41Z,Sneaker,26.99
2016-11-15T13:17:50Z,Shoe,59.39
2016-08-23T11:24:00Z,Boot,119.99
2016-04-01T21:44:50Z,Shoe,59.99
2017-01-27T01:20:21Z,Boot,148.95
2016-11-15T13:15:08Z,Sneaker,71.98
2016-11-15T13:15:08Z,Sneaker,75
2016-11-15T13:15:08Z,Sneaker,59.99
2016-07-27T01:23:16Z,Shoe,236.125
2016-11-15T13:14:56Z,Boot,99.95
2016-07-20T15:40:19Z,Loafer,77.97
2016-07-20T15:40:19Z,Loafer,25.99
2016-08-23T14:48:52Z,Loafer,22.98
2016-08-23T14:48:52Z,Loafer,29.99
2016-08-23T14:48:52Z,Loafer,22.99
2016-08-23T14:48:52Z,Loafer,29.99
2017-01-27T01:30:11Z,Boot,110.99
2016-03-30T18:10:42Z,Shoe,540
2017-01-20T18:57:17Z,Sneaker,69.93
2017-01-22T06:19:06Z,Shoe,130.82
2017-01-22T06:19:06Z,Shoe,94.99
2017-01-22T06:19:06Z,Shoe,149.9
2016-06-20T14:16:13Z,Shoe,59.9
2016-03-25T22:49:14Z,Boot,205
2016-03-25T22:49:14Z,Boot,174.95
2016-01-27T09:08:05Z,Shoe,99.99
2016-10-05T22:21:08Z,Shoe,17.99
2016-07-21T14:29:23Z,Shoe,115
2016-07-21T14:29:23Z,Shoe,107.49000000000001
2017-01-12T06:15:51Z,Shoe,94.43
2017-01-12T06:15:51Z,Shoe,94.43
2016-01-27T09:56:09Z,Shoe,80
2017-01-27T01:24:11Z,Shoe,29.9
2017-01-27T01:24:11Z,Shoe,49.9
2016-03-04T05:30:31Z,Shoe,110
2016-03-04T05:30:31Z,Shoe,82.5
2016-03-30T21:14:09Z,Boot,249.95
2016-03-30T21:14:09Z,Boot,294
2016-11-15T13:18:48Z,Shoe,27.6
2016-05-21T00:57:51Z,Shoe,40
2016-06-20T14:16:09Z,Shoe,129.99
2017-01-12T06:20:55Z,Boot,110
2017-01-12T06:20:55Z,Boot,63.99
2017-01-12T06:13:56Z,Shoe,100
2017-01-12T06:13:56Z,Shoe,100
2016-11-04T23:10:28Z,Boot,32.25
2016-04-12T04:12:25Z,Shoe,89.99
2016-05-02T02:07:50Z,Shoe,44.99
2016-05-24T03:53:20Z,Shoe,29.99
2017-01-09T20:23:46Z,Shoe,55
2017-01-09T20:23:46Z,Shoe,52.52
2016-03-04T03:33:16Z,Boot,89.99
2017-01-12T06:19:39Z,Boot,103.99
2016-11-06T23:58:59Z,Shoe,108
2016-11-06T23:58:59Z,Shoe,25.99
2016-04-10T23:21:48Z,Shoe,69.99
2016-06-08T05:33:46Z,Shoe,74.49
2016-06-08T05:33:46Z,Shoe,150
2017-01-27T01:23:25Z,Shoe,39.59
2017-01-27T01:23:25Z,Shoe,71.98
2017-01-27T01:23:25Z,Shoe,75
